Time; UserTime; User; Text; Sentiment; Candidate; Place; Latitude; Longitude;
2015-12-14 23:03:37; Rajoy dice para empezar y acabar lo mismo!!! Tal cual!!! Machacando con el mensaje... Se cree que somos gilipollas!!! #caraAcara; Jose Martret; neutral; Mariano Rajoy; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 23:03:36; Apasionante debate, yo he rechazado varias proposiciones sexuales de lo emocionado que estoy #CaraACaraL6 #CaraACaraA3N #CaraACara; Luis Alfonso; neutral; Ninguno; Fuenlabrada, Comunidad de Madrid; 40.282476; -3.7923422; 
2015-12-14 23:03:36; El minut de glria... #emocionsaflordepell #vibrant #apassionant #CaraACara; Cristina Salvador; positive; Ninguno; Barcelona, Catalonia; 41.3825596; 2.1771353; 
2015-12-14 23:03:24; Resumen de las promesas de @marianorajoy en el #caraacara #CaraACaraTVE #CaraACaraL6 #CaraACaraA3N foto @emofacc https://t.co/CY0YFT32ni; Javier Mardones G-M; neutral; Mariano Rajoy; Vitoria-Gasteiz, Euskadi; 42.8463449; -2.6725146; 
2015-12-14 23:03:19; Pedro Snchez: "Espaa necesita un cambio" #CaraACara #CaraACaraL6  #JetaAJeta https://t.co/0MAHH0mNfU; Joan Orquin; neutral; Pedro Sanchez; Oliva, Comunidad Valenciana; 38.9201993; -0.1209744; 
2015-12-14 23:02:33; "Cuenten conmigo, yo cuento con vosotros, con vosotras" Y esa diferencia de tratamiento? @sanchezcastejon #CaraACara; Mar Castro; neutral; Pedro Sanchez; Lugo, Galicia; 43.0396042; -7.45660706651; 
2015-12-14 23:02:05; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/YLd8sK5LiC; David; neutral; Pedro Sanchez; Don Benito, Extremadura; 38.9540777; -5.8619853; 
2015-12-14 23:01:52; @mcampovidal pide una intervencin sin alusiones al otro Era necesario dar esas pautas fundamentales? No deberan saberlo?... #CaraACara; Mar Castro; neutral; Ninguno; Lugo, Galicia; 43.0396042; -7.45660706651; 
2015-12-14 23:01:33; Que se acaba!!! Que s!!! #CaraACara; FERNANDOGARCIABILBAO; neutral; Ninguno; Moralzarzal, Comunidad de Madrid; 40.6791436; -3.9720985; 
2015-12-14 23:00:56; Rajoy emulando su frase 'los espaoles son mucho espaoles' con Iberoamrica y frica #Caraacara; Carlos Herranz; neutral; Mariano Rajoy; Paris, Ile-de-France; 48.8565056; 2.3521334; 
2015-12-14 23:00:22; Antes de #twitter, cmo se aguantaban estos debates? #CaraACaraL6 #Caraacara #CaraACaraA3N; Luis Alfonso; neutral; Ninguno; Fuenlabrada, Comunidad de Madrid; 40.282476; -3.7923422; 
2015-12-14 23:00:13; #CaraACara Que se vayan, se vayan, se vayan, que se vayan de una p. vez; jose miguel gamboa; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:59:49; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/SS3wmrrFo8; Jordi Planell; neutral; Pedro Sanchez; Castelldefels, Catalunya; 41.2861022; 1.9824173; 
2015-12-14 22:59:14; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/EWPNSgw0vo; M Angeles fernandez ; neutral; Pedro Sanchez; Seville, Andalusia; 37.3886303; -5.9953171; 
2015-12-14 22:58:41; #caraacara #CampoVidal FOR PRESIDENT !!!; SALVA GIL; neutral; Ninguno; Malaga, Andalusia; 36.7210805; -4.4210409; 
2015-12-14 22:58:11; Pfff y me sobra una f. #CaraACara; Pablo Bautista; neutral; Ninguno; Madrid, Comunidad de Madrid; 40.4167047; -3.7035825; 
2015-12-14 22:57:54; @mireyita19801 pero y el #caraacara no te mola??? Yo no s ni para qu lo veo... #qudesastre!; Vicky Inga; neutral; Ninguno; Ibi, Comunidad Valenciana; 38.623288; -0.5730513; 
2015-12-14 22:57:20; Creo que Pedro Snchez ha ganado #CaraACara #ELPAS20D #PSOE https://t.co/a9IGH3LAoB; Conxa Blasco Gomis; neutral; Pedro Sanchez; Manises, Comunidad Valenciana; 39.492989; -0.4621429; 
